code_indicateur;exercice;graphique_n;graphique_intitule;tableau_n;tableau_intitule;score;statut
pme-region-repartition-stock;2023;1;Répartition du stock de PME en 2023 par région (en %);4;Répartition du stock des PME estimé en 2023 selon la Région;0.667;candidat
activite-evolution-pme-secteur-selon-stock;2023;2;Evolution du stock de PME selon le secteur d'activité de 2016 à 2023 (en %);1;Répartition du stock des PME estimé en 2023 selon le secteur d’activité;0.625;candidat
age-dirigeant-pme-promoteur-repartition-selon;2023;3;Répartition du stock de PME selon la tranche d'âge du promoteur/dirigeant en 2023 (en %);6;Répartition du stock des PME estimé entre 2023 selon la tranche d’âge du Promoteur/Dirigeant;0.8;candidat
cfce-creees-evolution-nombre-pme;2023;4;Evolution du nombre de PME créées dans les CFCE de 2018 à;7;Evolution du nombre de PME créées dans les CFCE entre 2018 et;0.833;candidat
cfce-creees-entre-evolution-nombre-pme;2023;5;Répartition et évolution du nombre de PME créées dans les CFCE entre 2022 et;7;Evolution du nombre de PME créées dans les CFCE entre 2018 et;0.857;candidat
activite-cfce-creees-evolution-nombre-pme;2023;6;Répartition et évolution du nombre de PME créées dans les CFCE par secteur d’activité 2022-2023;8;Evolution du nombre de PME créées dans les CFCE entre 2018 et 2023 selon le secteur d’activité;0.7;candidat
cfce-creees-dirigeant-evolution-pme-pourcentage;2023;7;Evolution du pourcentage de PME créées dans les CFCE selon le sexe du promoteur/dirigeant;5;Répartition du stock des PME estimé en 2023 selon le sexe du Promoteur/Dirigeant;0.417;candidat
creees-evolution-nombre-oes;2023;8;Evolution du nombre des OES créées de 2020 à 2023 (hors donnée de l’Extrême Nord);7;Evolution du nombre de PME créées dans les CFCE entre 2018 et;0.273;à_vérifier
activite-evolution-oes-repartition-secteur;2023;9;Evolution et répartition des OES par secteur d'activité en 2022-2023 (en %);20;Répartition des OES enregistrées selon le secteur d’activité et par région entre 2020 et;0.444;candidat
activite-branche-evolution-oes-repartition;2023;10;Evolution et répartition des OES par branche d'activité en 2023 (en %);22;Répartition des OES enregistrées par branches d’activité et par région entre 2020 et;0.333;candidat
enregistrees-evolution-nombre-upa;2023;11;Evolution du nombre d'UPA enregistrées dans les BC de 2018-2023 (hors donnée de l’Extrême Nord);27;Evolution du nombre d’UPA enregistrées dans les Bureaux Communaux de 2018 à 2023 par sexe;0.364;candidat
enregistrees-evolution-nombre-region-upa;2023;12;Evolution du nombre d'UPA enregistrées dans les BC par région de 2018-2023 (en %);26;Evolution du nombre d’UPA enregistrées dans les Bureaux Communaux de 2018 à 2023 selon la région;0.625;candidat
enregistrees-evolution-promoteur-sexe-upa;2023;13;Evolution des UPA enregistrées dans les BC par sexe du promoteur de 2018 à 2023 (en %);27;Evolution du nombre d’UPA enregistrées dans les Bureaux Communaux de 2018 à 2023 par sexe;0.5;candidat
artisanat-enregistrees-region-repartition-typologie-upa;2023;14;Répartition des UPA enregistrées par typologie d'artisanat par région en 2023 (en %);19;Répartition des OES enregistrées entre 2020 et 2023 selon la région;0.333;candidat
evolution-periode-pib-reel;2023;15;Evolution du PIB réel sur la période 2021-2023;35;Evolution du nombre d'artisans par catégories professionnelles de 2021 à;0.125;à_vérifier
entre-evolution-pib-primaire-secteur;2023;16;Evolution du PIB dans le secteur primaire entre 2021 et;8;Evolution du nombre de PME créées dans les CFCE entre 2018 et 2023 selon le secteur d’activité;0.273;à_vérifier
entre-evolution-pib-secondaire-secteur;2023;17;Evolution du PIB dans le secteur secondaire entre 2021 et;8;Evolution du nombre de PME créées dans les CFCE entre 2018 et 2023 selon le secteur d’activité;0.273;à_vérifier
ajoutee-estimee-evolution-periode-pme-valeur;2023;18;Evolution de la Valeur Ajoutée estimée des PME sur la période 2018-2023;13;Evolution de la Valeur Ajoutée des PME de 2018 à 2023 (en millions de Francs CFA);0.444;candidat
accordes-activite-bcpme-credits-proportion-secteur;2023;19;Proportion de crédits accordés par BCPME en 2023 selon le secteur d'activité;52;Répartition (%) des UPI par taille selon le secteur d’activité;0.3;candidat
